ID,sector,source,year,value,units
10,Residential,Total Energy,2008,21667.627,Trillion Btu
10,Commercial,Total Energy,2008,18402.244,Trillion Btu
10,Transportation,Total Energy,2008,27421.586,Trillion Btu
10,Industrial,Total Energy,2008,31333.358,Trillion Btu
9,Commercial,Total Energy,2009,17887.561,Trillion Btu
9,Transportation,Total Energy,2009,26588.888,Trillion Btu
9,Industrial,Total Energy,2009,28465.439,Trillion Btu
9,Residential,Total Energy,2009,21081.368,Trillion Btu
8,Industrial,Total Energy,2010,30670.436,Trillion Btu
8,Commercial,Total Energy,2010,18058.632,Trillion Btu
8,Transportation,Total Energy,2010,26978.4,Trillion Btu
8,Residential,Total Energy,2010,21894.159,Trillion Btu
7,Transportation,Total Energy,2011,26598.624,Trillion Btu
7,Residential,Total Energy,2011,21381.247,Trillion Btu
7,Commercial,Total Energy,2011,17981.378,Trillion Btu
7,Industrial,Total Energy,2011,30981.322,Trillion Btu
6,Commercial,Total Energy,2012,17421.351,Trillion Btu
6,Industrial,Total Energy,2012,31060.724,Trillion Btu
6,Residential,Total Energy,2012,19869.589,Trillion Btu
6,Transportation,Total Energy,2012,26125.738,Trillion Btu
5,Transportation,Total Energy,2013,26611.709,Trillion Btu
5,Industrial,Total Energy,2013,31627.437,Trillion Btu
5,Residential,Total Energy,2013,21051.185,Trillion Btu
5,Commercial,Total Energy,2013,17929.446,Trillion Btu
4,Commercial,Total Energy,2014,18264.465,Trillion Btu
4,Industrial,Total Energy,2014,31797.941,Trillion Btu
4,Transportation,Total Energy,2014,26868.857,Trillion Btu
4,Residential,Total Energy,2014,21444.938,Trillion Btu
3,Transportation,Total Energy,2015,27238.037,Trillion Btu
3,Residential,Total Energy,2015,20616.83,Trillion Btu
3,Commercial,Total Energy,2015,18156.728,Trillion Btu
3,Industrial,Total Energy,2015,31471.524,Trillion Btu
2,Residential,Total Energy,2016,20181.113,Trillion Btu
2,Commercial,Total Energy,2016,18030.223,Trillion Btu
2,Industrial,Total Energy,2016,31452.839,Trillion Btu
2,Transportation,Total Energy,2016,27785.537,Trillion Btu
1,Transportation,Total Energy,2017,28014.167,Trillion Btu
1,Industrial,Total Energy,2017,32005.673,Trillion Btu
1,Commercial,Total Energy,2017,17899.252,Trillion Btu
1,Residential,Total Energy,2017,19889.581,Trillion Btu
0,Residential,Total Energy,2018,21621.074,Trillion Btu
0,Transportation,Total Energy,2018,28390.532,Trillion Btu
0,Commercial,Total Energy,2018,18607.551,Trillion Btu
0,Industrial,Total Energy,2018,32617.767,Trillion Btu
